,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth
9755,ETNXP/LTC,Finexbox,0.16833638,5.800414242352035e-09,0.30693252,0.09219258
9756,ETH/LTC,EXMO,2096454.4994994,0.07223812545653724,1388.13268648,3861.65823587
9757,ETH/LTC,Mercatox,192166.1127151,0.006621522080313789,422.96206354,0.48148178
9758,ETH/LTC,BITEXBOOK,454.14566725,1.564862566498916e-05,860.6777159,11.4776449
9759,ETH/LTC,Graviex,3.34507044,1.1526203796141268e-07,4.21336058,104.28067423
9760,ETH/LTC,Coinut,0.13937793,4.802584742772448e-09,88121.76930381,81424.98378376
9761,ETG/LTC,STEX,13.95955321,4.810082719858598e-07,191.66771104,80.60257539
9762,ETC/LTC,Coinut,2.36752542,8.157849280885383e-08,16764.88036516,77162.71309914
9763,EMD/LTC,Graviex,9.729e-05,3.3523490385051018e-12,6.90877876,0.01247442
9764,DUO/LTC,C-Patex,0.0,0.0,0.70725769,3.929066
9765,DOGE/LTC,STEX,6436.96403404,0.00022180028975645925,126.85850726,762.79993563
9766,DOGE/LTC,SouthXchange,18.23990689,6.284976289969584e-07,1.1203348,0.02752471
9767,DOGE/LTC,StakeCube,4.77340519,1.6447857230025455e-07,107.78026623,146.43376537
9768,DOGE/LTC,Graviex,0.71414729,2.460757509489695e-08,0.0708984,0.01921072
9769,DOGE/LTC,C-Patex,0.0,0.0,6.88948678,177.37178613
9770,DIME/LTC,C-Patex,0.0,0.0,2393.17465389,0.39033166
9771,DDK/LTC,Finexbox,40.45159373,1.393852002741952e-06,97698.07364419,29345.33470949
9772,DASH/LTC,StakeCube,496.00617085,1.709102487348746e-05,2.66770095,1248.2934918
9773,DASH/LTC,SouthXchange,4.22603146,1.4561756091708616e-07,0.00263341,0.01695706
9774,CLO/LTC,STEX,97.03466993,3.343551058089171e-06,6.37527564,153.06434686
9775,CHESS/LTC,DODO BSC,16824.49228929,0.0005797262878953421,0.0,0.0
9776,BTRL/LTC,STEX,0.0,0.0,1310.37611211,827.05546759
9777,BTM/LTC,MOV,0.0,0.0,307.58545153,712.48862369
9778,BTCZ/LTC,STEX,136.94080275,4.71860796002754e-06,152.48463229,24.90842931
9779,BTCZ/LTC,SafeTrade,90.27516709,3.1106369574987042e-06,179.05962811,185.61154075
9780,BTC2/LTC,StakeCube,0.0,0.0,286.44286209,322.43162244
9781,BSV/LTC,IndoEx,3622558.45424066,0.12482352092714777,30991.06461949,21390.25680895
9782,BLC/LTC,C-Patex,0.0,0.0,0.16254303,6.71387081
9783,BCH/LTC,IndoEx,5000686.25479595,0.1723100602130834,18191.6460219,30646.35612144
9784,BC/LTC,STEX,0.08438083,2.907534117779448e-09,127.44286137,3.16115773
9785,BBS/LTC,TradeOgre,1.78683722,6.156955531331206e-08,0.0,0.0
9786,BBOO/LTC,PancakeSwap,22.7453459,7.837428148661833e-07,0.0,0.0
9787,AER/LTC,STEX,0.0,0.0,4.26445392,28.85083877
9788,ADS/LTC,Graviex,3013.8508741,0.00010384911172768936,145.38505963,55.961059
9789,A2A/LTC,50x,56.65437695,1.9521558854500782e-06,29.301162,11.36058854
9790,808TA/LTC,Finexbox,196.72744862,6.77869332129529e-06,0.0307271,0.00922943
9791,50X/LTC,50x,51.93229718,1.7894458476588982e-06,1.50205484,537.69360256
9792,vDOT/DOT,Venus,4441620.14880216,0.2268147341423632,0.0,0.0
9793,WBNB/DOT,Bunicorn,288.98505666,1.4757243213409518e-05,0.0,0.0
9794,USDT/DOT,MDEX(BSC),0.0,0.0,0.0,0.0
9795,PASTA/DOT,PancakeSwap,932.88614606,4.763854542148455e-05,0.0,0.0
9796,NYAN/DOT,PancakeSwap,12.67075847,6.470419841125313e-07,0.0,0.0
9797,MDX/DOT,MDEX,18617.2916877,0.0009507062565301305,0.0,0.0
9798,KSM/DOT,Kraken,432532.83920591,0.022087620653195077,19191.87520217,34252.7762714
9799,HDOT/USDT,MDEX,385511.78129756,0.019686454323955674,0.0,0.0
9800,DOT/ZTB,ZT,933128.47724094,0.04765092024880834,169.00678881,427.13270364
9801,DOT/ZAR,Altcoin Trader,55793.10353098,0.0028491175562974152,0.0,0.0
9802,DOT/XRP,Bitrue,2397702.19319543,0.12244049857546838,61770.56108315,159739.46486687
9803,DOT/XLM,Stellarterm,8968.40097708,0.00045797826359534477,0.0,0.0
9804,DOT/XBT,Kraken,4531173.85476989,0.23138786271483056,1192511.75978631,1300027.855902
9805,DOT/WBNB,PancakeSwap (V2),10918301.65121544,0.5575514346886263,0.0,0.0
9806,DOT/WBNB,Biswap,541621.72628241,0.02765832820836848,0.0,0.0
