,slug,Exchange,Symbol,Base,Quote,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated,rn
10136,stellar,Indodax,XLM/IDR,XLM,IDR,0.34432571010715,28438.35303206,64470.94683797,331870.40504291,0.056778507068388565,6.49e-07,2021-10-10T17:16:53.000Z,1
10137,stellar,Rekeningku.com,XLM/IDR,XLM,IDR,0.345097269042,29758174.51660788,45715044.90322668,311786.22017681,0.05334237653353343,8.974e-07,2021-10-10T17:15:10.000Z,2
10138,stellar,Zipmex,XLM/IDR,XLM,IDR,0.34418542666445,45196.26524928,45793.64343432,19139.22701072,0.0032744611137324867,5.501e-07,2021-10-10T17:15:08.000Z,3
10139,stellar,Triv Pro,XLM/IDR,XLM,IDR,0.34558826109145,54590.52016497,70828.99164491,0.0,0.0,0.0,2021-10-10T17:15:12.000Z,4
10140,stellar,Huobi Global,XLM/HUSD,XLM,HUSD,0.3432264943348215,5362.9617606,10066.4592034,122463.63709705,0.02095186066270772,155.5503002666,2021-10-10T17:16:53.000Z,1
10141,stellar,Kraken,XLM/GBP,XLM,GBP,0.34436707439096537,34362.89625846,39081.57248777,59786.00635843,0.01022857155392911,7.543e-07,2021-10-10T17:16:53.000Z,1
10142,stellar,Bitstamp,XLM/GBP,XLM,GBP,0.34604153478589295,18620.9645475,23569.9765512,39849.03007515,0.006817626402986395,5.191e-07,2021-10-10T17:16:53.000Z,2
10143,stellar,CoinField,XLM/GBP,XLM,GBP,0.3455106083192086,1240.08849392,1240.08849392,22991.82559629,0.003933588269087502,1.353e-07,2021-10-10T17:15:07.000Z,3
10144,stellar,Stellarterm,XLM/FRED,XLM,FRED,0.37294584364705885,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:08.000Z,1
10145,stellar,Finexbox,XLM/FNB,XLM,FNB,0.8475112818591758,56768.06146831,17051.28568516,2920.5238058,0.0004996618530343851,157.4946824635,2021-10-10T17:15:07.000Z,1
10146,stellar,Coinbase Exchange,XLM/EUR,XLM,EUR,0.34439988614879763,158877.03761933,183295.75794065,1662692.39274962,0.2844640267398469,1.0682e-06,2021-10-10T17:16:23.000Z,1
10147,stellar,Binance,XLM/EUR,XLM,EUR,0.3427106305088821,66273.42933613,78924.74325726,1254075.18414043,0.2145551866783708,549.1573325803362,2021-10-10T17:16:54.000Z,2
10148,stellar,Kraken,XLM/EUR,XLM,EUR,0.34363625003760295,395427.24368232,454391.8539207,1190286.18538735,0.2036417576363359,1.3448e-06,2021-10-10T17:16:53.000Z,3
10149,stellar,Bitvavo,XLM/EUR,XLM,EUR,0.3445040183457787,59896.12025226,89506.58665055,1180182.98341058,0.20191323735813507,6.486e-07,2021-10-10T17:15:12.000Z,4
10150,stellar,Bitstamp,XLM/EUR,XLM,EUR,0.34305773783215243,259341.15734878,322599.18451226,904647.60601418,0.15477288637965655,8.919e-07,2021-10-10T17:16:53.000Z,5
10151,stellar,BitMart,XLM/ETH,XLM,ETH,0.34448790093856774,10877.01941687,2431.50351445,3316333.58058241,0.567379515572913,46.7448682369,2021-10-10T17:15:10.000Z,1
10152,stellar,Cat.Ex,XLM/ETH,XLM,ETH,0.34410162500479363,5123.78572261,23390.07605265,1560421.60494304,0.26696688761526977,29.7475779677,2021-10-10T17:15:08.000Z,2
10153,stellar,Bitrue,XLM/ETH,XLM,ETH,0.34448790093856774,7404.01724674,51269.39196682,1210094.43560797,0.20703067951088044,164.0226510806,2021-10-10T17:15:07.000Z,3
10154,stellar,Binance,XLM/ETH,XLM,ETH,0.34448790093856774,53336.55059237,152219.1402831,1082004.45947325,0.18511622885531634,546.6042454528936,2021-10-10T17:16:54.000Z,4
10155,stellar,TOKOK,XLM/ETH,XLM,ETH,0.34410162500479363,2344.49752784,1793.91545999,1071864.83834757,0.1833814777566736,25.3660731339,2021-10-10T17:15:07.000Z,5
10156,stellar,Crypto.com Exchange,XLM/CRO,XLM,CRO,0.3449747496614336,39682.09464161,25249.64506136,53925.4593398,0.009225911764850048,67.4505712138,2021-10-10T17:15:10.000Z,1
10157,stellar,RippleFox,XLM/CNY,XLM,CNY,0.33290394673536,0.0,0.0,3209.7505269,0.0005491446064791217,0.0,2021-10-10T17:15:08.000Z,1
10158,stellar,Lykke Exchange,XLM/CHF,XLM,CHF,0.3463420836556968,444421.450317,449992.92610877,4254.34215262,0.0007278600089473046,6.638e-07,2021-10-10T17:15:10.000Z,1
10159,stellar,Bitbuy,XLM/CAD,XLM,CAD,0.34611591716308265,26957.34124624,31489.42105027,145678.48297063,0.024923604664268163,0.0,2021-10-10T17:15:11.000Z,1
10160,stellar,CoinField,XLM/CAD,XLM,CAD,0.3469978432897433,1067.85398088,587.94259282,8410.28045193,0.001438884458604542,1.425e-07,2021-10-10T17:15:07.000Z,2
10161,stellar,Mandala Exchange,XLM/BUSD,XLM,BUSD,0.3442487851845392,5902.69742814,9700.49398148,5730758.0788364,0.9804546688770457,316.2178736575,2021-10-10T17:15:12.000Z,1
10162,stellar,Binance,XLM/BUSD,XLM,BUSD,0.3427498790081189,166408.16393669,213666.55856374,5564251.92005002,0.9519677325009012,529.3182822417992,2021-10-10T17:16:54.000Z,2
10163,stellar,Dex-Trade,XLM/BUSD,XLM,BUSD,0.3442687706002248,7015.2822159,8246.23924351,46003.31451177,0.007870540664323803,86.9357656161,2021-10-10T17:15:08.000Z,3
10164,stellar,Binance,XLM/BTC,XLM,BTC,0.3433522810307021,354524.76589743,434864.93238288,7476004.92568166,1.2790426385300613,567.7510619970643,2021-10-10T17:16:54.000Z,1
10165,stellar,GokuMarket,XLM/BTC,XLM,BTC,0.34445453554444433,48243.66591371,77091.72157293,5135982.05798034,0.8786965910517048,126.2449189887,2021-10-10T17:15:07.000Z,2
10166,stellar,P2PB2B,XLM/BTC,XLM,BTC,0.3450056628013154,3875.65545942,26329.17998691,4002261.34120663,0.6847324148167325,53.7472336322,2021-10-10T17:15:09.000Z,3
10167,stellar,HitBTC,XLM/BTC,XLM,BTC,0.3443443100930701,1928150.1479959,1605543.05533012,3841930.8488566,0.6573020508709105,319.1577195885,2021-10-10T17:15:08.000Z,5
10168,stellar,Changelly PRO,XLM/BTC,XLM,BTC,0.3443443100930701,1936586.36667931,1575154.82457431,3841930.8488566,0.6573020508709105,323.6729045564,2021-10-10T17:15:11.000Z,4
10169,stellar,NovaDAX,XLM/BRL,XLM,BRL,0.3455274102298802,52030.20348129,50234.22465183,13470.98757962,0.002304702534137486,4.102e-07,2021-10-10T17:15:07.000Z,1
10170,stellar,Binance,XLM/BNB,XLM,BNB,0.34436757001815554,20362.25307011,89622.91780047,873406.38186939,0.14942793835483728,557.066948405754,2021-10-10T17:16:54.000Z,1
10171,stellar,Folgory,XLM/BNB,XLM,BNB,0.3440767891990811,38057.77860574,103546.70030397,7748.14594726,0.0013256022614505998,258.6533720062,2021-10-10T17:15:10.000Z,2
10172,stellar,CoinEx,XLM/BCH,XLM,BCH,0.34424838510952516,9716.5625859,6849.34768408,6929.97265037,0.0011856239518009968,56.0328813531,2021-10-10T17:16:53.000Z,1
10173,stellar,HitBTC,XLM/BCH,XLM,BCH,0.34591406430662097,889842.51557956,693589.10741289,1.20928971,2.0689300191768159e-07,176.1248173131,2021-10-10T17:15:08.000Z,2
10174,stellar,CoinJar,XLM/AUD,XLM,AUD,0.347956014266196,144987.01308039,93762.24652031,97191.06659483,0.01662806799818522,5.621e-07,2021-10-10T17:15:15.000Z,1
10175,stellar,BTC Markets,XLM/AUD,XLM,AUD,0.3497835143411235,44651.67877134,44907.20241809,76887.29585564,0.013154369310647883,3.104e-07,2021-10-10T17:15:09.000Z,2
10176,stellar,Independent Reserve,XLM/AUD,XLM,AUD,0.35302915447419475,26117.88788434,10538.76293789,27661.36742337,0.0047324832883668426,2.953e-07,2021-10-10T17:15:09.000Z,3
